angle,inner_radius,outer_radius,distance
0,9.0,416.010817167054,407.010817167054
1,39.01281840626232,417.0587488591985,378.04593045293615
2,29.017236257093817,417.17262613934776,388.1553898822539
3,17.029386365926403,417.5799324680246,400.55054610209817
4,13.038404810405298,418.1506905411015,405.11228573069616
5,12.041594578792296,418.9140723346496,406.8724777558573
6,9.055385138137417,419.2111639734801,410.1557788353427
7,16.1245154965971,420.3546122026021,404.230096706005
8,15.132745950421556,421.43801442204995,406.3052684716284
9,12.165525060596439,422.6700841081611,410.50455904756467
10,11.180339887498949,424.04952540947386,412.8691855219749
11,20.396078054371138,425.376303994475,404.9802259401039
12,14.317821063276353,425.97887271553736,411.661051652261
13,9.219544457292887,428.8228072292797,419.6032627719868
14,16.492422502470642,430.01627876163013,413.5238562591595
15,11.40175425099138,432.30197778867495,420.9002235376836
16,14.560219778561036,434.20041455530645,419.64019477674543
17,20.8806130178211,436.1387393937851,415.258126375964
18,25.298221281347036,438.9282401486603,413.63001886731325
19,21.18962010041709,441.8200991353834,420.6304790349663
20,11.704699910719626,443.9380587424331,432.2333588317135
21,8.54400374531753,447.362269307549,438.8182655622315
22,5.385164807134504,450.6994564008259,445.3142915936914
23,15.231546211727817,454.1904886718787,438.95894246015087
24,9.848857801796104,457.41993834987125,447.57108054807514
25,14.317821063276353,460.341177823579,446.02335676030265
26,29.966648127543394,465.55128611142294,435.58463798387953
27,4.47213595499958,468.70566456999427,464.23352861499467
28,19.235384061671343,474.3047543510396,455.06937028936824
29,10.295630140987,478.1683803849853,467.8727502439983
30,13.892443989449804,483.64656516923594,469.7541211797861
31,5.830951894845301,487.2299251893299,481.39897329448456
32,18.867962264113206,492.476395373423,473.6084331093098
33,23.853720883753127,499.5137635741382,475.66004269038507
34,3.605551275463989,505.6530431036681,502.0474918282041
35,29.410882339705484,509.1659847240387,479.7551023843332
36,18.601075237738275,516.6372034609974,498.03612822325914
37,30.0,524.2299113938464,494.22991139384635
38,27.80287754891569,530.2122216622322,502.4093441133165
39,6.4031242374328485,538.6742986258023,532.2711743883694
40,7.810249675906654,547.6440449781227,539.833795302216
41,10.63014581273465,555.4979747937881,544.8678289810534
42,12.041594578792296,565.5201145847954,553.478520006003
43,16.278820596099706,574.3814063842945,558.1025857881948
44,30.4138126514911,582.6988930828683,552.2850804313772
45,4.242640687119285,594.6974020457799,590.4547613586606
46,27.586228448267445,599.0133554437664,571.427126995499
47,17.69180601295413,604.1489882471045,586.4571822341504
48,24.08318915758459,594.5771606780738,570.4939715204893
49,9.219544457292887,585.9769620044801,576.7574175471873
50,17.029386365926403,576.1805272655438,559.1511408996174
51,22.02271554554524,569.1405801732996,547.1178646277543
52,17.804493814764857,559.580199792666,541.7757059779011
53,5.0,551.8052192576653,546.8052192576653
54,17.204650534085253,547.0146250330058,529.8099744989206
55,19.4164878389476,539.3922505932023,519.9757627542548
56,33.83784863137726,533.6703102103395,499.83246157896224
57,16.64331697709324,525.8745097454334,509.2311927683402
58,15.264337522473747,521.5361924162119,506.2718548937381
59,5.830951894845301,513.1237667463864,507.2928148515411
60,13.892443989449804,506.9694270860916,493.0769830966418
61,22.825424421026653,504.58795070829825,481.7625262872716
62,14.7648230602334,500.24394049303584,485.4791174328024
63,6.708203932499369,495.10503936033615,488.3968354278368
64,27.730849247724095,491.48855530927676,463.75770606155265
65,18.788294228055936,486.26021840162906,467.47192417357314
66,9.848857801796104,483.3218389437829,473.4729811419868
67,22.847319317591726,479.27027865287033,456.4229593352786
68,10.770329614269007,475.77410606295086,465.00377644868183
69,8.54400374531753,472.06037749423535,463.51637374891783
70,26.570660511172846,468.87524993328446,442.30458942211163
71,18.027756377319946,466.50294747193186,448.4751910946119
72,6.324555320336759,462.6413297577293,456.31677443739255
73,16.76305461424021,459.2254348356589,442.4623802214187
74,7.280109889280518,458.5204466542359,451.2403367649554
75,15.524174696260024,456.6004818219096,441.0763071256496
76,8.246211251235321,453.06070233468716,444.81449108345186
77,13.341664064126334,451.89489928522096,438.5532352210946
78,14.317821063276353,450.1388674620311,435.82104639875473
79,20.396078054371138,448.3257744096362,427.9296963552651
80,17.26267650163207,447.035792750424,429.7731162487919
81,12.165525060596439,445.85199337896876,433.6864683183723
82,15.132745950421556,444.34671147652256,429.213965526101
83,25.179356624028344,443.42417615642023,418.2448195323919
84,18.110770276274835,442.5031073337226,424.3923370574478
85,12.041594578792296,441.81444068749045,429.77284610869816
86,15.033296378372908,441.02154142399894,425.98824504562606
87,18.027756377319946,440.50085130451225,422.4730949271923
88,29.017236257093817,440.41003621625157,411.39279995915774
89,40.01249804748511,440.1136216933077,400.1011236458226
90,1.0,440.01022715386966,439.01022715386966
91,44.01136216933077,440.07272126320214,396.0613590938714
92,24.020824298928627,440.32828662260613,416.3074623236775
93,18.027756377319946,440.5496566790173,422.5219003016973
94,26.076809620810597,441.09069362207134,415.01388400126075
95,12.041594578792296,441.81444068749045,429.77284610869816
96,9.055385138137417,442.19452732931916,433.13914219118175
97,26.1725046566048,443.5493208201316,417.37681616352677
98,7.0710678118654755,444.2082844792519,437.13721666738644
99,6.082762530298219,445.2235393597243,439.1407768294261
100,11.180339887498949,447.21359549995793,436.03325561245896
101,5.0990195135927845,448.7137171961651,443.6146976825723
102,14.317821063276353,449.3116958192831,434.99387475600673
103,18.439088914585774,452.3549491273418,433.915860212756
104,4.123105625617661,453.78519147279366,449.662085847176
105,15.524174696260024,455.548021617919,440.02384692165896
106,17.72004514666935,457.4111935665764,439.69114841990705
107,10.44030650891055,461.1333863428238,450.69307983391326
108,9.486832980505138,462.9643614793692,453.47752849886405
109,18.027756377319946,466.171642209176,448.1438858318561
110,14.866068747318506,466.8361596963114,451.97009094899295
111,13.92838827718412,472.7885362400404,458.8601479628563
112,18.384776310850235,474.09070862019644,455.7059323093462
113,22.847319317591726,479.27027865287033,456.4229593352786
114,9.848857801796104,482.0881662102898,472.2393084084937
115,14.317821063276353,486.26021840162906,471.9423973383527
116,25.495097567963924,490.6006522621021,465.10555469413816
117,15.652475842498529,496.0252009726925,480.372725130194
118,17.0,499.29550368494205,482.29550368494205
119,26.419689627245813,501.48280130030383,475.063111673058
120,21.95449840010015,509.0540246378571,487.09952623775695
121,17.4928556845359,513.638978271704,496.14612258716807
122,9.433981132056603,520.1557459069351,510.72176477487847
123,20.248456731316587,527.5234591939964,507.27500246267977
124,18.027756377319946,532.5410782277739,514.513321850454
125,15.811388300841896,539.971295533383,524.1599072325411
126,23.600847442411894,545.2375629026305,521.6367154602186
127,10.0,553.6208088574706,543.6208088574706
128,16.401219466856727,559.4175542472724,543.0163347804157
129,6.4031242374328485,568.5068161420758,562.1036919046429
130,17.029386365926403,578.1219594514638,561.0925730855374
131,10.63014581273465,581.3776741499453,570.7475283372106
132,13.45362404707371,573.7612743990309,560.3076503519571
133,17.69180601295413,563.3702157551462,545.6784097421921
134,30.4138126514911,553.8275905008705,523.4137778493795
135,1.4142135623730951,543.0653735969547,541.6511600345816
136,30.4138126514911,533.2054013229798,502.79158867148874
137,17.69180601295413,522.1685551620282,504.476749149074
138,13.45362404707371,517.4214916294065,503.9678675823328
139,9.219544457292887,509.40455435733986,500.18500990004696
140,7.810249675906654,501.54660800368293,493.73635832777626
141,6.4031242374328485,493.22205952288874,486.8189352854559
142,24.20743687382041,486.95790372474704,462.7504668509266
143,25.0,479.60817340825207,454.60817340825207
144,8.602325267042627,473.6285464369731,465.0262211699305
145,19.4164878389476,468.94349339765876,449.52700555871115
146,7.211102550927978,463.21485295702684,456.00375040609885
147,34.66987164671943,456.7986427300326,422.12877108331315
148,13.038404810405298,451.66912668456763,438.6307218741623
149,5.830951894845301,447.45167336819736,441.62072147335203
150,19.72308292331602,442.32680226276136,422.6037193394453
151,12.529964086141668,436.9862698071874,424.45630572104574
152,17.0,432.24530072633524,415.24530072633524
153,11.180339887498949,430.2650346007679,419.0846947132689
154,25.495097567963924,425.31517725094176,399.82007968297785
155,16.55294535724685,422.2842644475401,405.73131909029325
156,9.848857801796104,419.3483039193076,409.4994461175115
157,15.231546211727817,415.3227660506946,400.0912198389668
158,10.770329614269007,413.38601814768725,402.6156885334182
159,8.54400374531753,409.46428415675035,400.9202804114328
160,14.866068747318506,406.6017707782395,391.735702030921
161,27.51363298439521,404.82094807457776,377.30731509018256
162,6.324555320336759,402.5580703451367,396.23351502479994
163,10.44030650891055,400.10623589241897,389.6659293835084
164,7.280109889280518,396.9735507562185,389.693440866938
165,19.6468827043885,395.3833582739668,375.7364755695783
166,4.123105625617661,394.12307722334657,389.9999715977289
167,17.46424919657298,392.23079940259663,374.7665502060237
168,29.614185789921695,390.9130338067535,361.2988480168318
169,10.198039027185569,389.6832046675864,379.4851656404008
170,11.180339887498949,388.1816585053962,377.0013186178972
171,19.235384061671343,386.5294296686864,367.29404560701505
172,21.213203435596427,386.22920656004254,365.0160031244461
173,17.11724276862369,385.0038960841825,367.8866533155588
174,9.055385138137417,383.98567681620625,374.93029167806884
175,42.190046219457976,381.26237684828016,339.07233062882216
176,14.035668847618199,382.9529997271206,368.9173308795024
177,20.024984394500787,382.69178198649627,362.6667975919955
178,24.020824298928627,382.29438918194967,358.27356488302104
179,40.01249804748511,382.0837604505065,342.07126240302136
180,1.0,382.0052355662158,381.0052355662158
181,40.01249804748511,382.13086763568316,342.11836958819805
182,25.019992006393608,382.3349317025584,357.31493969616474
183,18.027756377319946,382.632983418837,364.6052270415171
184,14.035668847618199,382.9529997271206,368.9173308795024
185,22.090722034374522,383.4227431960707,361.33202116169616
186,9.055385138137417,384.4125388173492,375.35715367921176
187,8.06225774829855,385.12984823303424,377.06759048473566
188,22.20360331117452,385.6591759572174,363.4555726460429
189,12.165525060596439,386.83976010746363,374.6742350468672
190,11.180339887498949,387.4906450483676,376.3103051608686
191,5.0990195135927845,389.2929488187527,384.1939293051599
192,23.53720459187964,390.4932777910524,366.95607319917275
193,13.341664064126334,391.78182704153085,378.4401629774045
194,8.246211251235321,394.12307722334657,385.87686597211126
195,23.769728648009426,395.9040287746514,372.13430012664196
196,29.120439557122072,397.8002011060326,368.6797615489105
197,13.601470508735444,400.10623589241897,386.50476538368355
198,15.811388300841896,402.5580703451367,386.7466820442948
199,37.0,404.16333331958754,367.16333331958754
200,14.866068747318506,407.5389551932428,392.67288644592435
201,13.92838827718412,410.03048667141815,396.102098394234
202,5.385164807134504,413.0048425866215,407.619677779487
203,7.615773105863909,415.7162493817147,408.1004762758508
204,17.46424919657298,419.76183723630714,402.29758803973414
205,28.635642126552707,423.14063855886025,394.50499643230756
206,34.438350715445125,426.1983106489278,391.7599599334827
207,4.47213595499958,427.56987733001023,423.0977413750106
208,17.0,433.0588874506561,416.0588874506561
209,10.295630140987,438.34803524140494,428.05240510041796
210,8.06225774829855,443.33847114817365,435.27621339987513
211,11.661903789690601,447.45167336819736,435.78976957850676
212,9.433981132056603,452.73943941300274,443.30545828094614
213,16.64331697709324,456.7986427300326,440.15532575293935
214,7.211102550927978,462.0865719754254,454.8754694244974
215,12.206555615733702,468.3641745479686,456.1576189322349
216,13.601470508735444,474.220412888353,460.6189423796176
217,5.0,481.42808393362344,476.42808393362344
218,17.804493814764857,485.7200839990045,467.91559018423965
219,14.212670403551895,492.590093282437,478.3774228788851
220,15.620499351813308,501.54660800368293,485.92610865186964
221,19.849433241279208,506.1106598363642,486.261226595085
222,14.866068747318506,516.7475205552514,501.88145180793293
223,17.69180601295413,522.8508391501347,505.15903313718053
224,27.586228448267445,518.4833652104954,490.897136762228
225,1.4142135623730951,511.2504278726816,509.8362143103085
226,27.586228448267445,502.0776832323859,474.49145478411845
227,17.69180601295413,493.76310109201154,476.0712950790574
228,14.866068747318506,484.92989184004733,470.06382309272885
229,9.219544457292887,474.6914787522523,465.4719342949594
230,23.430749027719962,471.71707622260186,448.2863271948819
231,14.212670403551895,463.38968482261237,449.17701441906047
232,11.40175425099138,458.373210386471,446.9714561354796
233,5.0,449.41962573968664,444.41962573968664
234,8.602325267042627,445.6197930972097,437.0174678301671
235,12.206555615733702,439.76925767952446,427.56270206379077
236,3.605551275463989,435.19765624368887,431.5921049682249
237,23.853720883753127,426.5688690000713,402.7151481163182
238,15.264337522473747,424.7469835090062,409.4826459865325
239,11.661903789690601,420.52586127371524,408.86395748402464
240,8.06225774829855,414.40318531594323,406.3409275676447
241,20.591260281974,411.92839183528,391.337131553306
242,14.7648230602334,406.70997037200846,391.94514731177503
243,8.94427190999916,403.4067426308093,394.46247072081013
244,25.495097567963924,400.26241392366586,374.76731635570195
245,14.317821063276353,397.2165656162895,382.8987445530131
246,12.083045973594572,391.72056366752054,379.637517693926
247,13.0,389.46373387004854,376.46373387004854
248,5.385164807134504,387.3861122962464,382.00094748911187
249,8.54400374531753,384.76616275343133,376.2221590081138
250,23.40939982143925,382.4983660095818,359.08896618814254
251,24.351591323771842,380.8017857100988,356.4501943863269
252,6.324555320336759,378.2089369647417,371.884381644405
253,13.601470508735444,376.36418533117626,362.76271482244084
254,7.280109889280518,372.24722967404335,364.9671197847628
255,11.40175425099138,371.8736344512743,360.47188020028295
256,8.246211251235321,369.39139134527755,361.14518009404225
257,22.561028345356956,368.46980880392357,345.90878045856664
258,24.515301344262525,367.589444897429,343.0741435531665
259,5.0990195135927845,366.3468302032925,361.2478106896997
260,11.180339887498949,365.0164379860173,353.83609809851833
261,12.165525060596439,363.6550563377333,351.48953127713685
262,14.142135623730951,362.8911682584739,348.74903263474295
263,8.06225774829855,361.9350770511198,353.8728193028212
264,18.110770276274835,361.00554012369395,342.8947698474191
265,11.045361017187261,360.51352263126,349.46816161407276
266,28.071337695236398,359.94027282314494,331.8689351279085
267,18.027756377319946,359.556671471967,341.528915094647
268,23.021728866442675,359.3132338225243,336.2915049560816
269,39.01281840626232,359.06823863995544,320.0554202336931
270,3.0,359.00139275495854,356.00139275495854
271,42.01190307520001,359.05013577493605,317.03823269973606
272,23.021728866442675,355.1408171415953,332.1190882751526
273,18.027756377319946,359.4022815731698,341.37452519584986
274,26.076809620810597,359.94027282314494,333.86346320233434
275,11.045361017187261,360.51352263126,349.46816161407276
276,10.04987562112089,361.1121709386157,351.0622953174948
277,23.194827009486403,362.0635303368733,338.8687033273869
278,7.0710678118654755,361.9019204149102,354.8308526030447
279,19.235384061671343,363.0385654444993,343.8031813828279
280,17.26267650163207,365.0164379860173,347.7537614843852
281,5.0990195135927845,366.3468302032925,361.2478106896997
282,19.4164878389476,366.9564006799718,347.5399128410242
283,9.219544457292887,369.1571481090404,359.9376036517475
284,4.123105625617661,370.3538848182911,366.2307791926734
285,23.769728648009426,371.8736344512743,348.10390580326487
286,7.280109889280518,374.0401048016108,366.7599949123303
287,13.601470508735444,376.36418533117626,362.76271482244084
288,6.324555320336759,378.5247680139306,372.20021269359387
289,21.18962010041709,380.8017857100988,359.6121656096817
290,11.704699910719626,382.8446159997552,371.1399160890356
291,13.92838827718412,384.97012871130664,371.0417404341225
292,5.385164807134504,388.3104428160541,382.9252780089196
293,26.0,390.24351371931857,364.24351371931857
294,17.46424919657298,393.3611572079785,375.89690801140557
295,14.317821063276353,394.6859511054327,380.36813004215634
296,25.495097567963924,400.26241392366586,374.76731635570195
297,11.180339887498949,404.32289076924644,393.14255088174747
298,23.706539182259394,405.83001367567675,382.12347449341735
299,18.35755975068582,411.92839183528,393.5708320845942
300,13.892443989449804,415.9098460003081,402.0174020108583
301,11.661903789690601,418.63229689072006,406.97039310102946
302,13.038404810405298,424.7469835090062,411.7085786986009
303,29.68164415931166,427.69147758635546,398.0098334270438
304,3.605551275463989,434.37311150668614,430.76756023122215
305,12.206555615733702,438.0433768475446,425.8368212318109
306,22.20360331117452,445.0280890011326,422.8244856899581
307,21.400934559032695,450.8214724256155,429.42053786658283
308,16.401219466856727,456.9682702332844,440.56705076642766
309,22.02271554554524,463.8846839463446,441.86196840079936
310,17.029386365926403,470.4221508390097,453.3927644730833
311,30.479501308256342,478.92588153074377,448.44638022248745
312,12.041594578792296,485.5388758894595,473.49728131066723
313,21.93171219946131,494.45019971681677,472.5184875173555
314,31.827660925679098,502.7772866787043,470.9496257530252
315,12.727922061357855,509.8362482209361,497.10832615957827
316,31.827660925679098,521.3108477674333,489.4831868417542
317,20.518284528683193,529.399659992335,508.88137546365186
318,12.041594578792296,540.4599892684009,528.4183946896086
319,19.849433241279208,547.5326474284433,527.683214187164
320,23.430749027719962,548.2928049865327,524.8620559588128
321,14.212670403551895,537.7629589326509,523.550288529099
322,24.20743687382041,530.2122216622322,506.00478478841177
323,15.0,524.4168189522529,509.4168189522529
324,18.601075237738275,515.6171060001792,497.01603076244095
325,12.206555615733702,510.79741581178735,498.59086019605365
326,3.605551275463989,504.52452864058057,500.9189773651166
327,16.64331697709324,498.96392655180995,482.3206095747167
328,15.264337522473747,491.9451188903087,476.680781367835
329,11.661903789690601,488.78829773225954,477.12639394256894
330,16.1245154965971,483.64656516923594,467.52204967263884
331,26.419689627245813,478.6585421780332,452.2388525507874
332,21.470910553583888,473.35504645033626,451.88413589675235
333,2.23606797749979,470.08297139973064,467.84690342223087
334,29.966648127543394,465.55128611142294,435.58463798387953
335,18.788294228055936,461.619973571335,442.83167934327906
336,12.083045973594572,457.83184686083166,445.7488008872371
337,15.231546211727817,454.1904886718787,438.95894246015087
338,10.770329614269007,451.0798155537443,440.3094859394753
339,30.083217912982647,447.7253622478852,417.6421443349025
340,11.704699910719626,444.52783939816413,432.8231394874445
341,18.027756377319946,442.1515577265334,424.1238013492134
342,3.1622776601683795,438.308110807911,435.1458331477426
343,10.44030650891055,436.1387393937851,425.69843288487453
344,21.840329667841555,433.8029506584758,411.96262099063426
345,23.769728648009426,432.0393500596907,408.26962141168127
346,20.615528128088304,430.01627876163013,409.4007506335418
347,13.341664064126334,428.1331568566023,414.79149279247594
348,14.317821063276353,426.81377672235465,412.4959556590783
349,10.198039027185569,424.6045218788891,414.4064828517035
350,27.459060435491963,421.9016473065731,394.4425868710812
351,20.223748416156685,422.5079880901662,402.2842396740095
352,15.132745950421556,421.2944338583172,406.1616879078956
353,16.1245154965971,419.98690455774926,403.86238906115216
354,10.04987562112089,419.2111639734801,409.1612883523592
355,25.079872407968907,418.9140723346496,393.83419992668064
356,14.035668847618199,418.1506905411015,404.1150216934833
357,21.02379604162864,417.6338108917907,396.61001485016203
358,25.019992006393608,417.1450587026053,392.12506669621166
359,40.01249804748511,417.09711099455006,377.08461294706495
