angle,inner_radius,outer_radius,distance
0,13.0,399.00125313086426,386.00125313086426
1,43.01162633521314,400.1012371887895,357.0896108535764
2,23.021728866442675,400.21119424623794,377.18946537979525
3,17.029386365926403,400.7193531637822,383.6899667978558
4,13.038404810405298,401.0498722104272,388.0114674000219
5,25.079872407968907,401.70760510600246,376.6277326980336
6,19.1049731745428,402.3046109604015,383.19963778585867
7,16.1245154965971,403.11288741492746,386.98837191833036
8,14.142135623730951,404.3278372805909,390.18570165686
9,13.152946437965905,405.2468383590426,392.0938919210767
10,17.26267650163207,406.7874137679287,389.5247372662966
11,37.656340767525464,408.1188552370498,370.4625144695243
12,32.7566787083184,409.14056264320703,376.3838839348886
13,21.587033144922902,411.1265012134343,389.53946806851144
14,20.615528128088304,412.31056256176606,391.69503443367773
15,31.04834939252005,414.58533500354304,383.536985611023
16,32.28002478313795,416.7601228524629,384.480098069325
17,31.32091952673165,417.9007059099087,386.57978638317707
18,111.31936040060597,421.5317307154943,310.2123703148883
19,116.05602095539895,424.1238026803023,308.06778172490334
20,80.05623023850174,426.5020515777152,346.44582133921347
21,65.55150646628954,429.34368517540815,363.7921787091186
22,62.76941930590086,432.31470018957253,369.5452808836717
23,60.92618484691127,433.84789961459995,372.9217147676887
24,53.71219600798314,437.41170537606786,383.6995093680847
25,51.894122981316485,442.4036618293298,390.50953884801334
26,50.08991914547278,445.88002870727456,395.7901095618018
27,46.06517122512408,449.47191235938203,403.40674113425797
28,42.05948168962618,455.0703242357163,413.01084254609015
29,41.182520563948,457.5773158713181,416.3947953073701
30,38.07886552931954,463.9234850705448,425.84461954122526
31,32.7566787083184,469.0682253148256,436.3115466065072
32,31.906112267087632,472.9873148404722,441.0812025733846
33,31.064449134018133,477.3311219688069,446.2666728347888
34,30.23243291566195,484.8463674196188,454.61393450395684
35,24.413111231467404,491.1466176204413,466.7335063889739
36,23.600847442411894,495.025251881154,471.4244044387421
37,21.400934559032695,503.0159043211258,481.6149697620931
38,22.80350850198276,508.52335246279495,485.71984396081217
39,19.209372712298546,516.6517202139174,497.4423475016189
40,17.029386365926403,524.9761899362675,507.94680357034105
41,18.439088914585774,532.8264257710948,514.387336856509
42,24.08318915758459,539.4849395488255,515.401750391241
43,16.278820596099706,549.6225977887008,533.343777192601
44,31.827660925679098,557.2647485710899,525.4370876454108
45,15.556349186104045,569.9438568841672,554.3875076980631
46,30.4138126514911,579.3107974136163,548.8969847621253
47,21.93171219946131,590.2169092799697,568.2851970805084
48,14.866068747318506,602.0797289396148,587.2136601922963
49,22.67156809750927,615.6492507913902,592.9776826938809
50,24.839484696748443,625.7195857570706,600.8801010603222
51,12.806248474865697,640.3124237432849,627.5061752684192
52,17.804493814764857,653.6734658833874,635.8689720686225
53,15.0,672.0119046564577,657.0119046564577
54,17.204650534085253,671.8429876094563,654.638337075371
55,12.206555615733702,663.1930337390464,650.9864781233127
56,10.816653826391969,656.8142812089275,645.9976273825355
57,20.248456731316587,649.5598509760282,629.3113942447117
58,31.906112267087632,641.414842360231,609.5087300931433
59,17.4928556845359,630.4363568196238,612.9435011350879
60,13.892443989449804,628.4011457659828,614.508701776533
61,10.295630140987,621.9236287519553,611.6279986109683
62,14.7648230602334,615.6524993858143,600.8876763255809
63,17.88854381999832,610.97299449321,593.0844506732117
64,27.730849247724095,604.6387351137868,576.9078858660627
65,14.317821063276353,598.9899832217563,584.67216215848
66,9.848857801796104,595.628239760339,585.7793819585429
67,15.231546211727817,589.5659420285402,574.3343958168124
68,10.770329614269007,586.0827586612662,575.3124290469972
69,8.54400374531753,582.3512685656312,573.8072648203137
70,11.704699910719626,577.7231170725298,566.0184171618102
71,36.05551275463989,574.3378796492532,538.2823668946132
72,9.486832980505138,569.2187628671423,559.7319298866372
73,16.76305461424021,566.5589113234387,549.7958567091985
74,17.72004514666935,563.4536360695528,545.7335909228834
75,11.40175425099138,562.3735413406289,550.9717870896375
76,8.246211251235321,559.7892460560493,551.5430348048139
77,18.439088914585774,557.372406923773,538.9333180091872
78,32.7566787083184,554.274300324307,521.5176216159886
79,21.37755832643195,551.7000996918525,530.3225413654205
80,22.360679774997898,550.9673311549425,528.6066513799445
81,13.152946437965905,549.2585911936198,536.105644755654
82,7.0710678118654755,547.8722478826611,540.8011800707957
83,24.186773244895647,545.6491546772523,521.4623814323567
84,9.055385138137417,545.2017975025394,536.146412364402
85,21.095023109728988,544.4887510316444,523.3937279219153
86,13.038404810405298,543.1942562288375,530.1558514184322
87,18.027756377319946,542.943827665441,524.916071288121
88,23.021728866442675,542.4877878809808,519.4660590145381
89,39.01281840626232,542.1807816586642,503.1679632524018
90,7.0,542.0,535.0
91,41.012193308819754,542.1328250530491,501.1206317442294
92,25.019992006393608,542.4463107073362,517.4263187009426
93,17.029386365926403,542.943827665441,525.9144412995146
94,39.11521443121589,543.6248706599064,504.50965622869046
95,21.095023109728988,544.4887510316444,523.3937279219153
96,20.09975124224178,544.6833942759775,524.5836430337358
97,8.06225774829855,546.3744137493995,538.312156001101
98,14.142135623730951,547.4422343955571,533.3000987718261
99,6.082762530298219,549.0974412615669,543.0146787312688
100,11.180339887498949,551.1478930377943,539.9675531502954
101,15.297058540778355,552.8516980167466,537.5546394759682
102,14.317821063276353,554.6963133102653,540.3784922469889
103,27.65863337187866,557.1400183077859,529.4813849359073
104,20.615528128088304,559.2924101040528,538.6768819759645
105,19.6468827043885,562.1076409372141,542.4607582328256
106,14.560219778561036,564.1639832530964,549.6037634745353
107,27.202941017470888,567.1446023722698,539.941661354799
108,6.324555320336759,570.7933075991693,564.4687522788325
109,36.05551275463989,574.0078396677175,537.9523269130775
110,23.40939982143925,578.0700649575274,554.6606651360881
111,13.92838827718412,581.4206738670375,567.4922855898534
112,23.769728648009426,584.9478609243733,561.178132276364
113,13.0,590.3558249056242,577.3558249056242
114,12.083045973594572,594.801647610361,582.7186016367664
115,18.788294228055936,597.1348256466039,578.3465314185479
116,29.966648127543394,605.5278688879646,575.5612207604212
117,6.708203932499369,610.052456760892,603.3442528283927
118,19.235384061671343,616.6036003787198,597.3682163170485
119,10.295630140987,620.0725763973118,609.7769462563248
120,16.1245154965971,627.5388434192739,611.4143279226769
121,17.4928556845359,634.5581139659314,617.0652582813955
122,9.433981132056603,641.9501538281613,632.5161726961047
123,20.248456731316587,649.5598509760282,629.3113942447117
124,7.211102550927978,657.3796467795455,650.1685442286175
125,31.622776601683793,664.2439310976051,632.6211544959214
126,8.602325267042627,671.8429876094563,663.2406623424137
127,15.0,667.6076692189807,652.6076692189807
128,11.40175425099138,654.6464694779924,643.2447152270009
129,25.612496949731394,638.2828526601667,612.6703557104353
130,29.832867780352597,623.4115815414405,593.5787137610879
131,9.219544457292887,610.6594795792496,601.4399351219568
132,12.041594578792296,601.4158295223032,589.3742349435108
133,17.69180601295413,589.5396509141688,571.8478449012147
134,27.586228448267445,577.1394978685829,549.5532694203155
135,12.727922061357855,567.8283191247157,555.1003970633578
136,33.24154027718932,553.0732320407488,519.8316917635595
137,16.278820596099706,548.9353331677603,532.6565125716606
138,41.773197148410844,538.0724858232393,496.2992886748284
139,9.219544457292887,530.7551224434861,521.5355779861933
140,15.620499351813308,523.5666146728609,507.94611532104756
141,19.209372712298546,516.5123425437189,497.30296983142034
142,30.610455730027933,507.73713671544647,477.12668098541855
143,15.0,500.02499937503126,485.02499937503126
144,13.601470508735444,495.025251881154,481.4237813724186
145,19.4164878389476,488.35745105404095,468.94096321509335
146,10.816653826391969,482.8923275431077,472.0756737167157
147,20.248456731316587,476.2362858917829,455.98782916046633
148,15.264337522473747,472.451055666087,457.18671814361323
