angle,inner_radius,outer_radius,distance
0,0.0,499.01603180659436,499.01603180659436
1,39.01281840626232,501.08083180261445,462.0680133963521
2,27.018512172212592,501.3232490120521,474.3047368398395
3,33.06055050963308,501.8973998737192,468.83684936408616
4,13.038404810405298,502.3644095673976,489.3260047569923
5,11.045361017187261,501.6781836994708,490.6328226822836
6,19.1049731745428,504.12002539077935,485.01505221623654
7,8.06225774829855,505.0712820978837,497.00902434958516
8,7.0710678118654755,505.72917653621687,498.6581087243514
9,13.152946437965905,507.8287112796991,494.6757648417332
10,17.26267650163207,506.18771221751325,488.92503571588117
11,5.0990195135927845,510.687771539519,505.5887520259262
12,14.317821063276353,512.7201965984956,498.4023755352192
13,21.587033144922902,514.4803203233337,492.8932871784108
14,4.123105625617661,516.8462053648068,512.7230997391891
15,26.92582403567252,519.1310046606733,492.20518062500076
16,21.840329667841555,522.4031010627713,500.5627713949297
17,10.44030650891055,525.0238089839355,514.5835024750249
18,12.649110640673518,527.7849941027123,515.1358834620388
19,24.351591323771842,531.3473440227211,506.9957526989493
20,11.704699910719626,534.7616291395634,523.0569292288437
21,8.54400374531753,537.974906477988,529.4309027326705
22,10.770329614269007,542.0793299877796,531.3090003735106
23,26.0,545.1843724832912,519.1843724832912
24,9.848857801796104,550.027272051123,540.1784142493268
25,18.788294228055936,554.6575520084442,535.8692577803882
26,27.730849247724095,558.578553114958,530.8477038672339
27,8.94427190999916,563.9875885159177,555.0433166059184
28,17.0,569.5981039294285,552.5981039294285
29,12.529964086141668,574.913036902104,562.3830728159622
30,16.1245154965971,580.8932776336803,564.7687621370833
31,5.830951894845301,587.5797818169036,581.7488299220583
32,9.433981132056603,593.9377071713834,584.5037260393268
33,23.853720883753127,600.4681506957717,576.6144298120186
34,14.422205101855956,606.601186942459,592.178981840603
35,20.808652046684813,613.446819210924,592.6381671642391
36,8.602325267042627,621.6309194369276,613.028594169885
37,5.0,630.6266724457506,625.6266724457506
38,11.40175425099138,639.8476381139498,628.4458838629583
39,6.4031242374328485,648.6485951576554,642.2454709202226
40,15.620499351813308,657.6298350896194,642.009335737806
41,9.219544457292887,666.7840729951489,657.5645285378561
42,14.866068747318506,678.122407829147,663.2563390818285
43,17.69180601295413,686.9505076786828,669.2587016657287
44,29.0,700.7859873028284,671.7859873028284
45,2.8284271247461903,714.2002520301992,711.371824905453
46,34.655446902326915,723.5862077181959,688.9307608158689
47,16.278820596099706,741.0242910998262,724.7454705037264
48,24.08318915758459,754.4700126578922,730.3868235003076
49,10.63014581273465,768.8016649305594,758.1715191178247
50,17.029386365926403,774.0161497023173,756.9867633363909
51,20.615528128088304,766.0770196266169,745.4614914985286
52,24.20743687382041,756.6696769396802,732.4622400658599
53,10.0,747.444981252801,737.444981252801
54,22.20360331117452,737.2197772713372,715.0161739601626
55,28.0178514522438,727.8275894743205,699.8097380220767
56,3.605551275463989,716.4167781396525,712.8112268641885
57,27.459060435491963,709.7527738586163,682.2937134231242
58,28.30194339616981,702.1573897638619,673.8554463676921
59,31.38470965295043,694.2405923021212,662.8558826491708
60,8.06225774829855,688.0770305714325,680.014772823134
61,28.653097563788805,680.5916543714006,651.9385568076118
62,27.294688127912362,673.3572603009491,646.0625721730368
63,2.23606797749979,667.755943440416,665.5198754629162
64,25.495097567963924,661.4295124954737,635.9344149275097
65,16.55294535724685,655.3548657025444,638.8019203452976
66,9.848857801796104,650.7480311149624,640.8991733131662
67,7.615773105863909,645.5029047184838,637.8871316126199
68,5.385164807134504,640.8572383924519,635.4720735853174
69,13.92838827718412,636.7676185234296,622.8392302462455
70,11.704699910719626,632.8427924848319,621.1380925741123
71,18.027756377319946,628.7527335924672,610.7249772151472
72,18.973665961010276,624.551839321605,605.5781733605947
73,24.041630560342615,619.5780822462976,595.5364516859551
74,14.560219778561036,615.5274161237662,600.9671963452051
75,11.40175425099138,614.4672489238137,603.0654946728223
76,20.615528128088304,611.9231977952788,591.3076696671906
77,25.709920264364882,609.5326078234043,583.8226875590394
78,38.8329756778952,606.8690138736695,568.0360381957743
79,15.297058540778355,604.6263308854486,589.3292723446702
80,11.180339887498949,602.93449063725,591.754150749751
81,12.165525060596439,600.8810198367061,588.7154947761096
82,15.132745950421556,598.3719578990981,583.2392119486766
83,8.06225774829855,598.1078498063706,590.0455920580721
84,9.055385138137417,596.5517580227217,587.4963728845843
85,12.041594578792296,595.5451284327662,583.5035338539739
86,13.038404810405298,594.6301371440906,581.5917323336853
87,17.029386365926403,594.0319856708054,577.002599304879
88,25.019992006393608,593.5267475017448,568.5067554953512
89,42.01190307520001,593.142478667647,551.1305755924469
90,1.0,593.0075884843296,592.0075884843296
