angle,inner_radius,outer_radius,distance
0,0.0,653.0122510336234,653.0122510336234
1,41.012193308819754,653.1293899373998,612.11719662858
2,23.021728866442675,653.5579545839834,630.5362257175407
3,19.026297590440446,654.1047316752876,635.0784340848471
4,29.068883707497267,654.6892392578329,625.6203555503356
5,21.095023109728988,655.5707437035304,634.4757205938014
6,18.110770276274835,656.8485365744526,638.7377662981778
7,8.06225774829855,658.508921731513,650.4466639832145
8,14.142135623730951,659.8742304409227,645.7320948171918
9,12.165525060596439,662.0347422907653,649.8692172301688
10,28.442925306655784,663.7544726779624,635.3115473713067
11,5.0990195135927845,666.2079255007403,661.1089059871475
12,28.635642126552707,668.2611764871576,639.6255343606049
13,22.561028345356956,671.1437997925631,648.5827714472061
14,8.246211251235321,673.7692483335819,665.5230370823466
15,11.40175425099138,677.6208379322466,666.2190836812551
16,39.56008088970496,680.6416090719109,641.081528182206
17,20.8806130178211,683.8260012605546,662.9453882427334
18,6.324555320336759,687.4794542384521,681.1548989181154
19,18.027756377319946,692.3214571281176,674.2937007507976
20,23.40939982143925,697.0975541486284,673.6881543271892
21,17.08800749063506,699.9378543842303,682.8498468935952
22,10.770329614269007,705.6939846704093,694.9236550561403
23,7.615773105863909,711.6867288350963,704.0709557292324
24,29.546573405388315,716.1319710779571,686.5853976725688
25,14.317821063276353,722.419545693498,708.1017246302216
26,32.202484376209235,728.0748587885727,695.8723744123635
27,6.708203932499369,733.9168890276337,727.2086850951343
28,19.235384061671343,741.426328100102,722.1909440384306
29,10.295630140987,749.0647502052142,738.7691200642272
30,13.892443989449804,757.5387778853304,743.6463338958806
31,17.4928556845359,764.7306715439103,747.2378158593743
32,13.038404810405298,773.7144175986383,760.676012788233
33,31.064449134018133,782.4129344534125,751.3484853193944
34,18.027756377319946,791.9046659794346,773.8769096021147
35,12.206555615733702,801.0649162209015,788.8583606051678
36,17.204650534085253,812.2179510451613,795.0133005110761
37,10.0,823.0492087354194,813.0492087354194
38,16.401219466856727,834.1282874953948,817.7270680285382
39,12.806248474865697,845.4454447213019,832.6391962464362
40,15.620499351813308,858.2878305090898,842.6673311572764
41,10.63014581273465,870.7381925699596,860.1080467572249
42,13.45362404707371,885.4450858184262,871.9914617713524
43,16.278820596099706,897.699838476091,881.4210178799913
44,30.4138126514911,915.0355184363063,884.6217057848153
45,9.899494936611665,918.5385130738939,908.6390181372823
46,34.655446902326915,905.8504291548356,871.1949822525087
47,16.278820596099706,888.532497998807,872.2536774027074
48,13.45362404707371,876.2933298844629,862.8397058373891
49,10.63014581273465,862.181535408872,851.5513895961374
50,7.810249675906654,849.1813704974927,841.371120821586
51,6.4031242374328485,837.0005973713519,830.597473133919
52,16.401219466856727,825.0775721106471,808.6763526437904
53,20.0,812.2130262437312,792.2130262437312
54,22.20360331117452,804.4209097232617,782.2173064120872
55,20.808652046684813,792.6998170808417,771.891165034157
56,10.816653826391969,784.128815947992,773.3121621216001
57,20.248456731316587,775.2019091823755,754.953452451059
58,15.264337522473747,767.0417198562279,751.7773823337542
59,5.830951894845301,757.0059444944934,751.1749925996481
60,8.06225774829855,748.8244119952287,740.7621542469302
61,12.529964086141668,743.3471598116186,730.8171957254768
62,17.0,734.7217160258706,717.7217160258706
63,20.12461179749811,726.2981481457873,706.1735363482892
64,41.14608122288197,720.9251001317682,679.7790189088862
65,21.02379604162864,716.5703035990258,695.5465075573971
66,24.166091947189145,710.6651813617999,686.4990894146108
67,13.0,703.0177807139731,690.0177807139731
68,16.15549442140351,699.9271390652029,683.7716446437994
